UpazName,UpazGeoCod,EmplydMale,EmplydFeml,7PlsNASBoth,7PlsNASMale,7PlsNASFeml,LokWrkMale,LokWrkFeml,HHWorkMale,HHWrkMaFem,DntWrkMale,DntWrkFeml
Sreepur,40550095,19126,676,48620,21750,26870,65,46,176,22153,2383,3995
Gangni,40570047,49999,1648,116279,56215,60064,207,120,391,52038,5618,6258
Mujibnagar,40570060,14477,229,32711,16054,16657,19,21,126,14556,1432,1851
Meherpur Sadar,40570087,33864,1285,81131,38430,42701,157,81,175,35861,4234,5474
Kalia,40650028,22468,1086,60911,28186,32725,195,89,378,25160,5145,6390
Lohagara,40650052,20898,932,56970,25336,31634,140,46,230,24706,4068,5950
Narail Sadar,40650076,23817,1223,65645,28763,36882,108,50,302,28658,4536,6951
Ashashuni,40870004,23808,2578,72783,29580,43203,152,115,747,32449,4873,8061
Debhata,40870025,10575,1550,30222,12471,17751,39,13,91,13006,1766,3182
Kalaroa,40870043,24215,1196,63973,27417,36556,82,37,153,29835,2967,5488
Kaliganj,40870047,22500,2360,66209,27577,38632,164,60,362,28723,4551,7489
Satkhira Sadar,40870082,36731,4575,102752,43402,59350,137,105,268,43797,6266,10873
Shyamnagar,40870086,28138,3733,90664,35424,55240,310,206,468,39957,6508,11344
Tala,40870090,27671,1804,78511,32391,46120,76,67,688,36648,3956,7601
Bakshiganj,45390007,37392,2102,96076,44610,51466,308,128,682,42232,6228,7004
Dewanganj,45390015,42484,3506,110645,50679,59966,537,184,1228,48769,6430,7507
Islampur,45390029,54255,3145,139551,64633,74918,532,169,1402,62253,8444,9351
Jamalpur Sadar,45390036,86006,6984,219082,99938,119144,721,337,1766,97074,11445,14749
Madarganj,45390058,48425,2917,119725,55723,64002,402,161,945,53824,5951,7100
Melandaha,45390061,55495,2885,141060,64836,76224,463,171,857,64281,8021,8887
Sarishabari,45390085,45635,2658,113942,52320,61622,323,105,931,51505,5431,7354
Bhaluka,45610013,49913,6363,128267,59875,68392,476,172,587,52039,8899,9818
Dhobaura,45610016,28365,1550,76629,36506,40123,238,110,481,31356,7422,7107
Fulbaria,45610020,63523,3516,159965,76138,83827,697,263,1137,68274,10781,11774
Gafargaon,45610022,48003,2358,125162,59884,65278,621,238,1949,53445,9311,9237
Gouripur,45610023,40202,2736,104818,48423,56395,375,172,760,44823,7086,8664
Haluaghat,45610024,40474,2290,103316,48604,54712,343,141,713,44909,7074,7372
Ishwarganj,45610031,50756,2542,134908,64750,70158,701,194,992,55423,12301,11999
Mymensingh Sadar,45610052,56929,5305,153525,73011,80514,632,269,616,58744,14835,16195
Muktagachha,45610065,57817,3339,145151,69071,76080,417,189,560,61110,10277,11442
Nandail,45610072,56256,2331,144766,69607,75159,533,155,1100,61458,11718,11215
Fulpur,45610081,42700,2410,109726,52578,57147,387,150,640,45332,8852,9255
Tarakanda,45610088,42126,2378,108252,51873,56380,381,148,631,44724,8734,9130
Trishal,45610094,55664,2689,143405,70168,73237,653,229,1019,58230,12832,12089
Mymensingh Sadar,45614052,20017,1866,53982,25672,28310,222,94,216,20656,5216,5695
Atpara,45720004,20278,1511,54528,26094,28434,193,61,1441,22045,4182,4817
Barhatta,45720009,28287,1330,70554,34479,36075,217,106,441,28213,5534,6426
Durgapur,45720018,30375,1896,78542,38106,40436,319,109,466,31278,6946,7153
Khaliajuri,45720038,17832,1732,43550,21855,21695,175,71,442,15890,3406,4002
Kalmakanda,45720040,39247,1954,100402,48073,52329,337,104,684,41504,7805,8767
Kendua,45720047,42546,3119,115051,54034,61017,309,117,2599,47644,8580,10137
Madan,45720056,26120,1860,66139,32431,33708,265,101,498,25558,5548,6189
Mohanganj,45720063,24966,1166,62247,30410,31837,180,51,931,25323,4333,5297
Netrakona Sadar,45720074,46870,3643,122665,57523,65142,388,117,888,50445,9377,10937
Purbadhala,45720083,39299,2458,103128,48569,54559,599,161,750,42475,7921,9465
Jhenaigati,45890037,23060,2295,61301,32884,28417,294,157,1294,26215,3769,4217
Nakla,45890067,26934,1817,67731,36346,31385,266,125,380,29739,3805,4665
Nalitabari,45890070,36975,2237,92779,49080,43699,644,138,574,40960,5506,5745
Sherpur Sadar,45890088,79423,6732,204547,107400,97147,1020,524,3432,84513,13272,15631
Sreebardi,45890090,40411,2945,108883,58549,50334,450,236,2552,47815,6921,7553
Adamdighi,50100006,19416,1751,52887,23272,29615,109,35,412,23433,3335,4396
Bogura Sadar,50100020,42126,6519,111257,50264,60993,167,91,397,43537,7574,10846
Dhunat,50100027,48459,1995,121198,55302,65896,222,107,660,56125,5961,7669
Dupchachia,50100033,18039,950,49525,21106,28419,138,38,392,24044,2537,3387
Gabtali,50100040,41999,1754,102727,47368,55359,196,81,463,47568,4710,5956
Kahaloo,50100054,23321,1078,59867,26402,33465,80,51,167,28512,2834,3824
Nandigram,50100067,21297,728,57139,25552,31587,106,62,484,26456,3665,4341
Sariakandi,50100081,45175,2927,112510,51960,60550,301,194,769,50904,5715,6525
Shajahanpur,50100085,27990,1578,68299,32395,35904,100,51,432,29381,3873,4894
Sherpur,50100088,46028,2796,119433,53461,65972,235,124,961,53917,6237,9135
Shibganj,50100094,52648,2758,134910,61102,73808,318,172,925,61981,7211,8897
